# See <KronaTools>/data/README for provenance information.
1	Oxidoreductases
2.6.1.23	4-hydroxyglutamate transaminase
2.6.1.24	Diiodotyrosine transaminase
2.6.1.25	Diiodotyrosine transaminase
2.6.1.26	Thyroid-hormone transaminase
2.6.1.27	Tryptophan transaminase
2.6.1.28	Tryptophan--phenylpyruvate transaminase
2.6.1.29	Diamine transaminase
2.6.1.3	Cysteine transaminase
2.6.1.30	Pyridoxamine--pyruvate transaminase
2.6.1.31	Pyridoxamine--oxaloacetate transaminase
2.6.1.32	Valine--3-methyl-2-oxovalerate transaminase
2.6.1.33	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
2.6.1.34	UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase
2.6.1.35	Glycine--oxaloacetate transaminase
2.6.1.36	L-lysine 6-transaminase
2.6.1.37	2-aminoethylphosphonate--pyruvate transaminase
2.6.1.38	Histidine transaminase
2.6.1.39	2-aminoadipate transaminase
2.6.1.4	Glycine transaminase
2.6.1.40	(R)-3-amino-2-methylpropionate--pyruvate transaminase
2.6.1.41	D-methionine--pyruvate transaminase
2.6.1.42	Branched-chain-amino-acid transaminase
2.6.1.43	Aminolevulinate transaminase
2.6.1.44	Alanine--glyoxylate transaminase
2.6.1.45	Serine--glyoxylate transaminase
2.6.1.46	Diaminobutyrate--pyruvate transaminase
2.6.1.47	Alanine--oxomalonate transaminase
2.6.1.48	5-aminovalerate transaminase
2.6.1.49	Dihydroxyphenylalanine transaminase
2.6.1.5	Tyrosine transaminase
2.6.1.50	Glutamine--scyllo-inositol transaminase
2.6.1.51	Serine--pyruvate transaminase
2.6.1.52	Phosphoserine transaminase
2.6.1.53	Glutamate synthase (NADPH)
2.6.1.54	Pyridoxamine-phosphate transaminase
2.6.1.55	Taurine--2-oxoglutarate transaminase
2.6.1.56	1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase
2.6.1.57	Aromatic-amino-acid transaminase
2.6.1.58	Phenylalanine(histidine) transaminase
2.6.1.59	dTDP-4-amino-4,6-dideoxygalactose transaminase
2.6.1.6	Leucine transaminase
2.6.1.60	Aromatic-amino-acid--glyoxylate transaminase
2.6.1.61	(R)-3-amino-2-methylpropionate--pyruvate transaminase
2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate transaminase
2.6.1.63	Kynurenine--glyoxylate transaminase
2.6.1.64	Glutamine--phenylpyruvate transaminase
2.6.1.65	N(6)-acetyl-beta-lysine transaminase
2.6.1.66	Valine--pyruvate transaminase
2.6.1.67	2-aminohexanoate transaminase
2.6.1.68	Ornithine(lysine) transaminase
2.6.1.69	Deleted entry
2.6.1.7	Kynurenine--oxoglutarate transaminase
2.6.1.70	Aspartate--phenylpyruvate transaminase
2.6.1.71	Lysine--pyruvate 6-transaminase
2.6.1.72	D-4-hydroxyphenylglycine transaminase
2.6.1.73	Methionine--glyoxylate transaminase
2.6.1.74	Cephalosporin-C transaminase
2.6.1.75	Cysteine-conjugate transaminase
2.6.1.76	Diaminobutyrate--2-oxoglutarate transaminase
2.6.1.77	Taurine--pyruvate aminotransferase
2.6.1.78	Aspartate--prephenate aminotransferase
2.6.1.79	Glutamate--prephenate aminotransferase
2.6.1.8	2,5-diaminovalerate transaminase
2.6.1.80	Nicotianamine aminotransferase
2.6.1.81	Succinylornithine transaminase
2.6.1.82	Putrescine aminotransferase
2.6.1.83	LL-diaminopimelate aminotransferase
2.6.1.84	Arginine--pyruvate transaminase
2.6.1.85	Aminodeoxychorismate synthase
2.6.1.86	2-amino-4-deoxychorismate synthase
2.6.1.9	Histidinol-phosphate transaminase
2.6.1.n1	UDP-4-amino-4-deoxy-L-arabinose aminomutase
2.6.2.1	Glycine amidinotransferase
2.6.3	Oximinotransferases
2.6.3.1	Oximinotransferase
2.6.99	Transferring other nitrogenous groups
2.6.99.1	dATP(dGTP)--DNA purinetransferase
2.6.99.2	Pyridoxine 5'-phosphate synthase
2.7	Transferring phosphorous-containing groups
2.7.1	Phosphotransferases with an alcohol group as acceptor
2.7.1.1	Hexokinase
2.7.1.10	Phosphoglucokinase
2.7.1.100	S-methyl-5-thioribose kinase
2.7.1.101	Tagatose kinase
2.7.1.102	Hamamelose kinase
2.7.1.103	Viomycin kinase
2.7.1.104	Triphosphate--protein phosphotransferase
2.7.1.105	6-phosphofructo-2-kinase
2.7.1.106	Glucose-1,6-bisphosphate synthase
2.7.1.107	Diacylglycerol kinase
2.7.1.108	Dolichol kinase
2.7.1.109	[Hydroxymethylglutaryl-CoA reductase (NADPH)] kinase
2.7.1.11	6-phosphofructokinase
2.7.1.110	Dephospho-[reductase kinase] kinase
2.7.1.111	[Acetyl-CoA carboxylase] kinase
2.7.1.112	Transferred entry: 2.7.10.1 and 2.7.10.2
2.7.1.113	Deoxyguanosine kinase
2.7.1.114	AMP--thymidine kinase
2.7.1.115	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase
2.7.1.116	[Isocitrate dehydrogenase (NADP(+))] kinase
2.7.1.117	[Myosin light-chain] kinase
2.7.1.118	ADP--thymidine kinase
2.7.1.119	Hygromycin-B 7''-O-kinase
2.7.1.12	Gluconokinase
2.7.1.120	Calcium/calmodulin-dependent protein kinase
2.7.1.121	Phosphoenolpyruvate--glycerone phosphotransferase
2.7.1.122	Xylitol kinase
2.7.1.123	Calcium/calmodulin-dependent protein kinase
2.7.1.124	[Tyrosine 3-monooxygenase] kinase
2.7.1.125	Rhodopsin kinase
2.7.1.126	[Beta-adrenergic-receptor] kinase
2.7.1.127	Inositol-trisphosphate 3-kinase
2.7.1.128	[Acetyl-CoA carboxylase] kinase
2.7.1.129	[Myosin heavy-chain] kinase
2.7.1.13	Dehydrogluconokinase
2.7.1.130	Tetraacyldisaccharide 4'-kinase
2.7.1.131	[Low-density-lipoprotein receptor] kinase
2.7.1.132	Tropomyosin kinase
2.7.1.133	Inositol-tetrakisphosphate 1-kinase
2.7.1.134	Inositol-tetrakisphosphate 1-kinase
2.7.1.135	[Tau protein] kinase
2.7.1.136	Macrolide 2'-kinase
2.7.1.137	Phosphatidylinositol 3-kinase
2.7.1.138	Ceramide kinase
2.7.1.139	Inositol-tetrakisphosphate 1-kinase
2.7.1.14	Sedoheptulokinase
2.7.1.140	Inositol-tetrakisphosphate 5-kinase
2.7.1.141	[RNA-polymerase]-subunit kinase
2.7.1.142	Glycerol-3-phosphate--glucose phosphotransferase
2.7.1.143	Diphosphate-purine nucleoside kinase
2.7.1.144	Tagatose-6-phosphate kinase
2.7.1.145	Deoxynucleoside kinase
2.7.1.146	ADP-specific phosphofructokinase
2.7.1.147	ADP-specific glucokinase
2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
2.7.1.149	1-phosphatidylinositol-5-phosphate 4-kinase
2.7.1.15	Ribokinase
2.7.1.150	1-phosphatidylinositol-3-phosphate 5-kinase
2.7.1.151	Inositol-polyphosphate multikinase
2.7.1.152	Inositol-hexakisphosphate kinase
2.7.1.153	Phosphatidylinositol-4,5-bisphosphate 3-kinase
2.7.1.154	Phosphatidylinositol-4-phosphate 3-kinase
2.7.1.155	Diphosphoinositol-pentakisphosphate kinase
2.7.1.156	Adenosylcobinamide kinase
2.7.1.157	N-acetylgalactosamine kinase
2.7.1.158	Inositol-pentakisphosphate 2-kinase
2.7.1.159	Inositol-1,3,4-trisphosphate 5/6-kinase
2.7.1.16	Ribulokinase
2.7.1.160	2'-phosphotransferase
2.7.1.161	CTP-dependent riboflavin kinase
2.7.1.162	N-acetylhexosamine 1-kinase
2.7.1.163	Hygromycin B 4-O-kinase
2.7.1.164	O-phosphoseryl-tRNA(Sec) kinase
2.7.1.17	Xylulokinase
2.7.1.18	Phosphoribokinase
2.7.1.19	Phosphoribulokinase
2.7.1.2	Glucokinase
2.7.1.20	Adenosine kinase
2.7.1.21	Thymidine kinase
2.7.1.22	Ribosylnicotinamide kinase
2.7.1.23	NAD(+) kinase
2.7.1.24	Dephospho-CoA kinase
2.7.1.25	Adenylyl-sulfate kinase
2.7.1.26	Riboflavin kinase
2.7.1.27	Erythritol kinase
2.7.1.28	Triokinase
2.7.1.29	Glycerone kinase
2.7.1.3	Ketohexokinase
2.7.1.30	Glycerol kinase
2.7.1.31	Glycerate kinase
2.7.1.32	Choline kinase
2.7.1.33	Pantothenate kinase
2.7.1.34	Pantetheine kinase
2.7.1.35	Pyridoxal kinase
2.7.1.36	Mevalonate kinase
2.7.1.37	Non-specific serine/threonine protein kinase
2.7.1.38	Phosphorylase kinase
2.7.1.39	Homoserine kinase
2.7.1.4	Fructokinase
2.7.1.40	Pyruvate kinase
2.7.1.41	Glucose-1-phosphate phosphodismutase
2.7.1.42	Riboflavin phosphotransferase
2.7.1.43	Glucuronokinase
2.7.1.44	Galacturonokinase
2.7.1.45	2-dehydro-3-deoxygluconokinase
2.7.1.46	L-arabinokinase
2.7.1.47	D-ribulokinase
2.7.1.48	Uridine kinase
2.7.1.49	Hydroxymethylpyrimidine kinase
2.7.1.5	Rhamnulokinase
2.7.1.50	Hydroxyethylthiazole kinase
2.7.1.51	L-fuculokinase
2.7.1.52	Fucokinase
2.7.1.53	L-xylulokinase
2.7.1.54	D-arabinokinase
2.7.1.55	Allose kinase
2.7.1.56	1-phosphofructokinase
2.7.1.57	Deleted entry
2.7.1.58	2-dehydro-3-deoxygalactonokinase
2.7.1.59	N-acetylglucosamine kinase
2.7.1.6	Galactokinase
2.7.1.60	N-acylmannosamine kinase
2.7.1.61	Acyl-phosphate--hexose phosphotransferase
2.7.1.62	Phosphoramidate--hexose phosphotransferase
2.7.1.63	Polyphosphate--glucose phosphotransferase
2.7.1.64	Inositol 3-kinase
2.7.1.65	Scyllo-inosamine 4-kinase
2.7.1.66	Undecaprenol kinase
2.7.1.67	1-phosphatidylinositol 4-kinase
2.7.1.68	1-phosphatidylinositol-4-phosphate 5-kinase
2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase
2.7.1.7	Mannokinase
2.7.1.70	Non-specific serine/threonine protein kinase
2.7.1.71	Shikimate kinase
2.7.1.72	Streptomycin 6-kinase
2.7.1.73	Inosine kinase
2.7.1.74	Deoxycytidine kinase
2.7.1.75	Thymidine kinase
2.7.1.76	Deoxyadenosine kinase
2.7.1.77	Nucleoside phosphotransferase
2.7.1.78	Polynucleotide 5'-hydroxyl-kinase
2.7.1.79	Diphosphate--glycerol phosphotransferase
2.7.1.8	Glucosamine kinase
2.7.1.80	Diphosphate--serine phosphotransferase
2.7.1.81	Hydroxylysine kinase
2.7.1.82	Ethanolamine kinase
2.7.1.83	Pseudouridine kinase
2.7.1.84	Alkylglycerone kinase
2.7.1.85	Beta-glucoside kinase
2.7.1.86	NADH kinase
2.7.1.87	Streptomycin 3''-kinase
2.7.1.88	Dihydrostreptomycin-6-phosphate 3'-alpha-kinase
2.7.1.89	Thiamine kinase
2.7.1.9	Deleted entry
2.7.1.90	Diphosphate--fructose-6-phosphate 1-phosphotransferase
2.7.1.91	Sphinganine kinase
2.7.1.92	5-dehydro-2-deoxygluconokinase
2.7.1.93	Alkylglycerol kinase
2.7.1.94	Acylglycerol kinase
2.7.1.95	Kanamycin kinase
2.7.1.96	NADH kinase
2.7.1.97	Rhodopsin kinase
2.7.1.98	Deleted entry
2.7.1.99	[Pyruvate dehydrogenase (acetyl-transferring)] kinase
2.7.1.n1	Anhydro-N-acetylmuramic acid kinase
2.7.1.n2	CTP-dependent riboflavin kinase
2.7.1.n3	O-phosphoseryl-tRNA(Sec) kinase
2.7.1.n6	Hygromycin B 4-O-kinase
2.7.10	Protein-tyrosine kinases
2.7.10.1	Receptor protein-tyrosine kinase
2.7.10.2	Non-specific protein-tyrosine kinase
2.7.11	Protein-serine/threonine kinases
2.7.11.1	Non-specific serine/threonine protein kinase
2.7.11.10	I-kappa-B kinase
2.7.11.11	cAMP-dependent protein kinase
2.7.11.12	cGMP-dependent protein kinase
2.7.11.13	Protein kinase C
2.7.11.14	Rhodopsin kinase
2.7.11.15	[Beta-adrenergic-receptor] kinase
2.7.11.16	[G-protein-coupled receptor] kinase
2.7.11.17	Calcium/calmodulin-dependent protein kinase
2.7.11.18	[Myosin light-chain] kinase
2.7.11.19	Phosphorylase kinase
2.7.11.2	[Pyruvate dehydrogenase (acetyl-transferring)] kinase
2.7.11.20	[Elongation factor 2] kinase
2.7.11.21	Polo kinase
2.7.11.22	Cyclin-dependent kinase
2.7.11.23	[RNA-polymerase]-subunit kinase
2.7.11.24	Mitogen-activated protein kinase
2.7.11.25	Mitogen-activated protein kinase kinase kinase
2.7.11.26	[Tau protein] kinase
2.7.11.27	[Acetyl-CoA carboxylase] kinase
2.7.11.28	Tropomyosin kinase
2.7.11.29	[Low-density-lipoprotein receptor] kinase
2.7.11.3	Dephospho-[reductase kinase] kinase
2.7.11.30	Receptor protein serine/threonine kinase
2.7.11.31	[Hydroxymethylglutaryl-CoA reductase (NADPH)] kinase
2.7.11.4	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase
2.7.11.5	[Isocitrate dehydrogenase (NADP(+))] kinase
2.7.11.6	[Tyrosine 3-monooxygenase] kinase
2.7.11.7	[Myosin heavy-chain] kinase
2.7.11.8	Fas-activated serine/threonine kinase
2.7.11.9	[Goodpasture-antigen-binding protein] kinase
2.7.12	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)
2.7.12.1	Dual-specificity kinase
2.7.12.2	Mitogen-activated protein kinase kinase
2.7.13	Protein-histidine kinases
2.7.13.1	Protein-histidine pros-kinase
2.7.13.2	Protein-histidine tele-kinase
2.7.13.3	Histidine kinase
2.7.2	Phosphotransferases with a carboxyl group as acceptor
2.7.2.1	Acetate kinase
2.7.2.10	Phosphoglycerate kinase (GTP)
2.7.2.11	Glutamate 5-kinase
2.7.2.12	Acetate kinase (diphosphate)
2.7.2.13	Glutamate 1-kinase
2.7.2.14	Branched-chain-fatty-acid kinase
2.7.2.15	Propionate kinase
2.7.2.2	Carbamate kinase
2.7.2.3	Phosphoglycerate kinase
2.7.2.4	Aspartate kinase
2.7.2.5	Carbamoyl-phosphate synthase (ammonia)
2.7.2.6	Formate kinase
2.7.2.7	Butyrate kinase
2.7.2.8	Acetylglutamate kinase
2.7.2.9	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)
2.7.3	Phosphotransferases with a nitrogenous group as acceptor
2.7.3.1	Guanidinoacetate kinase
2.7.3.10	Agmatine kinase
2.7.3.11	Protein-histidine pros-kinase
2.7.3.12	Protein-histidine tele-kinase
2.7.3.2	Creatine kinase
2.7.3.3	Arginine kinase
2.7.3.4	Taurocyamine kinase
2.7.3.5	Lombricine kinase
2.7.3.6	Hypotaurocyamine kinase
2.7.3.7	Opheline kinase
2.7.3.8	Ammonia kinase
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase
2.7.4	Phosphotransferases with a phosphate group as acceptor
2.7.4.1	Polyphosphate kinase
2.7.4.10	Nucleoside-triphosphate--adenylate kinase
2.7.4.11	(Deoxy)adenylate kinase
2.7.4.12	T(2)-induced deoxynucleotide kinase
2.7.4.13	(Deoxy)nucleoside-phosphate kinase
2.7.4.14	Cytidylate kinase
2.7.4.15	Thiamine-diphosphate kinase
2.7.4.16	Thiamine-phosphate kinase
2.7.4.17	3-phosphoglyceroyl-phosphate--polyphosphate phosphotransferase
2.7.4.18	Farnesyl-diphosphate kinase
2.7.4.19	5-methyldeoxycytidine-5'-phosphate kinase
2.7.4.2	Phosphomevalonate kinase
2.7.4.20	Dolichyl-diphosphate--polyphosphate phosphotransferase
2.7.4.21	Inositol-hexakisphosphate kinase
2.7.4.22	UMP kinase
2.7.4.23	Ribose 1,5-bisphosphate phosphokinase
2.7.4.24	Diphosphoinositol-pentakisphosphate kinase
2.7.4.3	Adenylate kinase
2.7.4.4	Nucleoside-phosphate kinase
2.7.4.5	Cytidylate kinase
2.7.4.6	Nucleoside-diphosphate kinase
2.7.4.7	Phosphomethylpyrimidine kinase
2.7.4.8	Guanylate kinase
2.7.4.9	dTMP kinase
2.7.5.1	Phosphoglucomutase
2.7.5.2	Phosphoacetylglucosamine mutase
2.7.5.3	Phosphoglycerate mutase
2.7.5.4	Bisphosphoglycerate mutase
2.7.5.5	Phosphoglucomutase (glucose-cofactor)
2.7.5.6	Phosphopentomutase
2.7.5.7	Phosphomannomutase
2.7.6	Diphosphotransferases
2.7.6.1	Ribose-phosphate diphosphokinase
2.7.6.2	Thiamine diphosphokinase
2.7.6.3	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
2.7.6.4	Nucleotide diphosphokinase
2.7.6.5	GTP diphosphokinase
2.7.7	Nucleotidyltransferases
2.7.7.1	Nicotinamide-nucleotide adenylyltransferase
2.7.7.10	UTP--hexose-1-phosphate uridylyltransferase
2.7.7.11	UTP--xylose-1-phosphate uridylyltransferase
2.7.7.12	UDP-glucose--hexose-1-phosphate uridylyltransferase
2.7.7.13	Mannose-1-phosphate guanylyltransferase
2.7.7.14	Ethanolamine-phosphate cytidylyltransferase
2.7.7.15	Choline-phosphate cytidylyltransferase
2.7.7.16	Pancreatic ribonuclease
2.7.7.17	Ribonuclease T(2)
2.7.7.18	Nicotinate-nucleotide adenylyltransferase
2.7.7.19	Polynucleotide adenylyltransferase
2.7.7.2	FAD synthetase
2.7.7.20	Deleted entry
2.7.7.21	tRNA cytidylyltransferase
2.7.7.22	Mannose-1-phosphate guanylyltransferase (GDP)
2.7.7.23	UDP-N-acetylglucosamine diphosphorylase
2.7.7.24	Glucose-1-phosphate thymidylyltransferase
2.7.7.25	tRNA adenylyltransferase
2.7.7.26	Ribonuclease T(1)
2.7.7.27	Glucose-1-phosphate adenylyltransferase
2.7.7.28	Nucleoside-triphosphate-aldose-1-phosphate nucleotidyltransferase
2.7.7.29	Nucleoside-triphosphate-aldose-1-phosphate nucleotidyltransferase
2.7.7.3	Pantetheine-phosphate adenylyltransferase
2.7.7.30	Fucose-1-phosphate guanylyltransferase
2.7.7.31	DNA nucleotidylexotransferase
2.7.7.32	Galactose-1-phosphate thymidylyltransferase
2.7.7.33	Glucose-1-phosphate cytidylyltransferase
2.7.7.34	Glucose-1-phosphate guanylyltransferase
2.7.7.35	Ribose-5-phosphate adenylyltransferase
2.7.7.36	Aldose-1-phosphate adenylyltransferase
2.7.7.37	Aldose-1-phosphate nucleotidyltransferase
2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase
2.7.7.39	Glycerol-3-phosphate cytidylyltransferase
2.7.7.4	Sulfate adenylyltransferase
2.7.7.40	D-ribitol-5-phosphate cytidylyltransferase
2.7.7.41	Phosphatidate cytidylyltransferase
2.7.7.42	[Glutamate--ammonia-ligase] adenylyltransferase
2.7.7.43	N-acylneuraminate cytidylyltransferase
2.7.7.44	Glucuronate-1-phosphate uridylyltransferase
2.7.7.45	Guanosine-triphosphate guanylyltransferase
2.7.7.46	Gentamicin 2''-nucleotidyltransferase
2.7.7.47	Streptomycin 3''-adenylyltransferase
2.7.7.48	RNA-directed RNA polymerase
2.7.7.49	RNA-directed DNA polymerase
2.7.7.5	Sulfate adenylyltransferase (ADP)
2.7.7.50	mRNA guanylyltransferase
2.7.7.51	Adenylylsulfate--ammonia adenylyltransferase
2.7.7.52	RNA uridylyltransferase
2.7.7.53	ATP adenylyltransferase
2.7.7.54	Phenylalanine adenylyltransferase
2.7.7.55	Anthranilate adenylyltransferase
2.7.7.56	tRNA nucleotidyltransferase
2.7.7.57	N-methylphosphoethanolamine cytidylyltransferase
2.7.7.58	(2,3-dihydroxybenzoyl)adenylate synthase
2.7.7.59	[Protein-PII] uridylyltransferase
2.7.7.6	DNA-directed RNA polymerase
2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
2.7.7.61	Citrate lyase holo-[acyl-carrier-protein] synthase
2.7.7.62	Adenosylcobinamide-phosphate guanylyltransferase
2.7.7.63	Lipoate--protein ligase
2.7.7.64	UTP-monosaccharide-1-phosphate uridylyltransferase
2.7.7.65	Diguanylate kinase
2.7.7.66	Malonate decarboxylase holo-[acyl-carrier-protein] synthase
2.7.7.67	CDP-archaeol synthase
2.7.7.7	DNA-directed DNA polymerase
2.7.7.8	Polyribonucleotide nucleotidyltransferase
2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
2.7.7.n2	CDP-archaeol synthase
2.7.8	Transferases for other substituted phosphate groups
2.7.8.1	Ethanolaminephosphotransferase
2.7.8.10	Sphingosine cholinephosphotransferase
2.7.8.11	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
2.7.8.12	CDP-glycerol glycerophosphotransferase
2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase
2.7.8.14	CDP-ribitol ribitolphosphotransferase
2.7.8.15	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
2.7.8.16	Diacylglycerol cholinephosphotransferase
2.7.8.17	UDP-N-acetylglucosamine--lysosomal-enzyme N-acetylglucosaminephosphotransferase
2.7.8.18	UDP-galactose--UDP-N-acetylglucosamine galactose phosphotransferase
2.7.8.19	UDP-glucose--glycoprotein glucose phosphotransferase
2.7.8.2	Diacylglycerol cholinephosphotransferase
2.7.8.20	Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase
2.7.8.21	Membrane-oligosaccharide glycerophosphotransferase
2.7.8.22	1-alkenyl-2-acylglycerol choline phosphotransferase
2.7.8.23	Carboxyvinyl-carboxyphosphonate phosphorylmutase
2.7.8.24	Phosphatidylcholine synthase
2.7.8.25	Triphosphoribosyl-dephospho-CoA synthase
2.7.8.26	Adenosylcobinamide-GDP ribazoletransferase
2.7.8.27	Sphingomyelin synthase
2.7.8.3	Ceramide cholinephosphotransferase
2.7.8.4	Serine-phosphoethanolamine synthase
2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
2.7.8.6	Undecaprenyl-phosphate galactose phosphotransferase
2.7.8.7	Holo-[acyl-carrier-protein] synthase
2.7.8.8	CDP-diacylglycerol--serine O-phosphatidyltransferase
2.7.8.9	Phosphomannan mannosephosphotransferase
2.7.8.n1	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
2.7.9	Phosphotransferases with paired acceptors
2.7.9.1	Pyruvate, phosphate dikinase
2.7.9.2	Pyruvate, water dikinase
2.7.9.3	Selenide, water dikinase
2.7.9.4	Alpha-glucan, water dikinase
2.7.9.5	Phosphoglucan, water dikinase
2.7.99	Other protein kinases
2.7.99.1	Triphosphate--protein phosphotransferase
2.8	Transferring sulfur-containing groups
2.8.1	Sulfurtransferases
2.8.1.1	Thiosulfate sulfurtransferase
2.8.1.2	3-mercaptopyruvate sulfurtransferase
2.8.1.3	Thiosulfate--thiol sulfurtransferase
2.8.1.4	tRNA sulfurtransferase
2.8.1.5	Thiosulfate--dithiol sulfurtransferase
2.8.1.6	Biotin synthase
2.8.1.7	Cysteine desulfurase
2.8.1.8	Lipoyl synthase
2.8.2	Sulfotransferases
2.8.2.1	Aryl sulfotransferase
2.8.2.10	Renilla-luciferin sulfotransferase
2.8.2.11	Galactosylceramide sulfotransferase
2.8.2.12	[Heparan sulfate]-glucosamine N-sulfotransferase
2.8.2.13	Psychosine sulfotransferase
2.8.2.14	Bile-salt sulfotransferase
2.8.2.15	Steroid sulfotransferase
2.8.2.16	Thiol sulfotransferase
2.8.2.17	Chondroitin 6-sulfotransferase
2.8.2.18	Cortisol sulfotransferase
2.8.2.19	Triglucosylalkylacylglycerol sulfotransferase
2.8.2.2	Alcohol sulfotransferase
2.8.2.20	Protein-tyrosine sulfotransferase
2.8.2.21	Keratan sulfotransferase
2.8.2.22	Aryl-sulfate sulfotransferase
2.8.2.23	[Heparan sulfate]-glucosamine 3-sulfotransferase 1
2.8.2.24	Desulfoglucosinolate sulfotransferase
2.8.2.25	Flavonol 3-sulfotransferase
2.8.2.26	Quercetin-3-sulfate 3'-sulfotransferase
2.8.2.27	Quercetin-3-sulfate 4'-sulfotransferase
2.8.2.28	Quercetin-3,3'-bissulfate 7-sulfotransferase
2.8.2.29	[Heparan sulfate]-glucosamine 3-sulfotransferase 2
2.8.2.3	Amine sulfotransferase
2.8.2.30	[Heparan sulfate]-glucosamine 3-sulfotransferase 3
2.8.2.31	Petromyzonol sulfotransferase
2.8.2.32	Scymnol sulfotransferase
2.8.2.33	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase
2.8.2.34	Glycochenodeoxycholate sulfotransferase
2.8.2.4	Estrone sulfotransferase
2.8.2.5	Chondroitin 4-sulfotransferase
2.8.2.6	Choline sulfotransferase
2.8.2.7	UDP-N-acetylgalactosamine-4-sulfate sulfotransferase
2.8.2.8	[Heparan sulfate]-glucosamine N-sulfotransferase
2.8.2.9	Tyrosine-ester sulfotransferase
2.8.3	CoA-transferases
2.8.3.1	Propionate CoA-transferase
2.8.3.10	Citrate CoA-transferase
2.8.3.11	Citramalate CoA-transferase
2.8.3.12	Glutaconate CoA-transferase
2.8.3.13	Succinate--hydroxymethylglutarate CoA-transferase
2.8.3.14	5-hydroxypentanoate CoA-transferase
2.8.3.15	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase
2.8.3.16	Formyl-CoA transferase
2.8.3.17	Cinnamoyl-CoA:phenyllactate CoA-transferase
2.8.3.2	Oxalate CoA-transferase
2.8.3.3	Malonate CoA-transferase
2.8.3.4	Deleted entry
2.8.3.5	3-oxoacid CoA-transferase
2.8.3.6	3-oxoadipate CoA-transferase
2.8.3.7	Succinate--citramalate CoA-transferase
2.8.3.8	Acetate CoA-transferase
2.8.3.9	Butyrate--acetoacetate CoA-transferase
2.8.4	Transferring alkylthio groups
2.8.4.1	Coenzyme-B sulfoethylthiotransferase
2.9	Transferring selenium-containing groups
2.9.1	Selenotransferases
2.9.1.1	L-seryl-tRNA(Sec) selenium transferase
2.9.1.2	O-phospho-L-seryl-tRNA(Sec):L-selenocysteinyl-tRNA synthase
2.9.1.n1	O-phospho-L-seryl-tRNA(Sec):L-selenocysteinyl-tRNA synthase
3	Hydrolases
3.1	Acting on ester bonds
3.1.1	Carboxylic ester hydrolases
3.1.1.1	Carboxylesterase
3.1.1.10	Tropinesterase
3.1.1.11	Pectinesterase
3.1.1.12	Carboxylesterase
3.1.1.13	Sterol esterase
3.1.1.14	Chlorophyllase
3.1.1.15	L-arabinonolactonase
3.1.1.16	Transferred entry: 3.1.1.24 and 5.3.3.4
3.1.1.17	Gluconolactonase
3.1.1.18	Gluconolactonase
3.1.1.19	Uronolactonase
3.1.1.2	Arylesterase
3.1.1.20	Tannase
3.1.1.21	Retinyl-palmitate esterase
3.1.1.22	Hydroxybutyrate-dimer hydrolase
3.1.1.23	Acylglycerol lipase
3.1.1.24	3-oxoadipate enol-lactonase
3.1.1.25	1,4-lactonase
3.1.1.26	Galactolipase
3.1.1.27	4-pyridoxolactonase
3.1.1.28	Acylcarnitine hydrolase
3.1.1.29	Aminoacyl-tRNA hydrolase
3.1.1.3	Triacylglycerol lipase
3.1.1.30	D-arabinonolactonase
3.1.1.31	6-phosphogluconolactonase
3.1.1.32	Phospholipase A(1)
3.1.1.33	6-acetylglucose deacetylase
3.1.1.34	Lipoprotein lipase
3.1.1.35	Dihydrocoumarin hydrolase
3.1.1.36	Limonin-D-ring-lactonase
3.1.1.37	Steroid-lactonase
3.1.1.38	Triacetate-lactonase
3.1.1.39	Actinomycin lactonase
3.1.1.4	Phospholipase A(2)
3.1.1.40	Orsellinate-depside hydrolase
3.1.1.41	Cephalosporin-C deacetylase
3.1.1.42	Chlorogenate hydrolase
3.1.1.43	Alpha-amino-acid esterase
3.1.1.44	4-methyloxaloacetate esterase
3.1.1.45	Carboxymethylenebutenolidase
